D_loss,G_loss
0.0164,6.284
0.01757,6.338
0.05538,5.895
0.03227,5.536
0.03925,5.586
0.02526,5.505
0.04083,5.794
0.02117,6.349
0.02042,6.673
0.01452,7.055
0.05429,6.958
0.02449,6.732
0.02118,6.285
0.02089,5.793
0.03682,5.975
0.02367,5.84
0.02818,6.507
0.01922,6.712
0.04506,6.832
0.02535,7.005
0.0173,6.847
0.01968,6.668
0.01549,6.407
0.04677,6.42
0.02278,6.114
0.03274,6.248
0.02302,6.221
0.0193,6.682
0.02252,7.116
0.03876,6.942
0.03214,6.84
0.02458,6.384
0.0206,6.32
0.0209,6.286
0.02874,6.154
0.03354,6.576
0.03558,6.553
0.02189,6.913
0.02209,6.69
0.02724,6.824
0.02205,6.748
0.01835,6.763
0.03381,6.344
0.0201,6.426
0.02694,6.196
0.01805,6.663
0.02535,6.682
0.02843,6.751
0.0428,7.121
0.03738,6.826
0.04415,6.905
0.01516,6.846
0.01597,6.921
0.01604,6.985
0.02025,7.326
0.01796,7.437
0.02749,7.729
0.02923,7.606
0.0324,6.971
0.0272,6.766
0.04083,6.908
0.0284,7.071
0.03302,7.147
0.0355,7.148
0.0403,7.454
0.03573,7.307
0.03021,7.458
0.02307,7.401
0.03623,7.312
0.04047,7.426
0.03903,7.67
0.01974,8.194
0.02715,7.832
0.01654,8.223
0.01392,8.237
0.03841,7.412
0.02853,7.7
0.01908,7.31
0.02483,7.525
0.03659,7.561
0.03725,7.632
0.04124,7.949
0.02555,8.247
0.02558,7.908
0.01763,7.849
0.03689,7.82
0.02069,8.245
0.04598,8.408
0.01964,8.972
0.02289,8.454
0.01163,8.37
0.01347,8.076
0.01799,7.772
0.01713,7.778
0.02982,8.213
0.02259,7.881
0.01001,8.72
0.03976,8.467
0.01467,8.46
0.01978,8.263
0.01574,8.027
0.02112,8.225
0.01566,8
0.03548,7.688
0.01523,7.549
0.01433,7.772
0.008524,8.317
0.01386,8.088
0.01389,8.454
0.01239,9.953
0.02425,9.229
0.005359,8.906
0.01515,8.439
0.008271,8.213
0.01091,7.984
0.01381,7.79
0.01567,8.153
0.04084,7.781
0.01762,8.325
0.01368,8.086
0.02911,8.575
0.02687,9.234
0.0365,9.194
0.01936,8.823
0.02733,8.307
0.01455,8.068
0.03572,7.766
0.03054,7.369
0.02544,7.837
0.01412,8.13
0.00899,8.412
0.008885,8.755
0.00701,8.908
0.005262,9.314
0.008637,9.273
0.01039,8.932
0.04528,8.842
0.01458,7.733
0.01379,7.641
0.0421,7.836
0.03883,8.516
0.02672,8.88
0.005156,8.976
0.01517,9.448
0.009029,9.795
0.02505,9.776
0.006875,9.576
0.01989,8.821
0.02331,8.375
0.0155,7.902
0.04396,8.089
0.0196,8.528
0.04194,8.692
0.01268,9.283
0.02558,9.965
0.004795,9.858
0.009987,10.27
0.02655,10.11
0.01467,9.524
0.01051,8.678
0.01254,8.148
0.04311,8.609
0.02533,8.193
0.01793,8.608
0.01555,8.644
0.03127,9.005
0.02,9.776
0.008648,9.749
0.004693,9.988
0.03702,8.996
0.02374,9.626
0.01126,9.881
0.006957,9.641
0.01174,9.572
0.007668,9.621
0.01096,9.328
0.04014,9.651
0.03801,9.879
0.04325,9.887
0.03986,9.612
0.01171,9.648
0.03063,8.967
0.02609,9.59
0.01575,9.372
0.02311,8.791
0.01228,9.225
0.007074,8.896
0.006854,8.841
0.01203,9.291
0.005686,9.347
0.01486,9.054
0.003536,9.14
0.01055,8.648
0.007707,9.115
0.01361,8.883
0.01034,8.761
0.01063,8.777
0.009723,8.769
0.006384,8.533
0.008077,8.665
0.01091,8.89
0.007321,8.42
0.01283,7.814
0.02081,8.023
0.01648,7.899
0.01212,8.074
0.009281,8.201
0.01352,7.755
0.00889,7.537
0.02584,7.219
0.02197,7.663
0.02141,8.053
0.007549,8.068
0.008841,8.47
0.007768,8.646
0.004462,8.865
0.01149,8.941
0.01989,8.773
0.01022,8.545
0.009568,8.63
0.009012,8.317
0.007049,8.178
0.01702,7.771
0.00938,8.295
0.01468,8.576
0.009722,8.522
0.006658,8.257
0.00578,8.367
0.004974,8.445
0.005164,8.408
0.00601,8.19
0.00958,8.004
0.0164,7.839
0.00884,7.389
0.00757,7.211
0.009005,7.204
0.01184,6.796
0.006688,7.004
0.00913,7.51
0.01521,6.922
0.008659,7.247
0.009087,7.593
0.01457,7.748
0.01249,7.712
0.007426,7.237
0.008194,7.289
0.01214,7.357
0.006468,7.438
0.005794,7.33
0.00564,7.246
0.006195,7.32
0.008341,7.065
0.01767,7.103
0.009291,7.006
0.01486,6.807
0.0105,6.859
0.008885,6.843
0.01015,6.74
0.008579,7.19
0.01627,7.136
0.009563,7.289
0.006472,7.221
0.005128,7.4
0.005519,7.281
0.003775,7.648
0.005107,7.632
0.006274,7.794
0.01056,7.367
0.007548,7.404
0.005173,6.866
0.01205,6.989
0.008909,6.611
0.006426,6.438
0.01041,6.753
0.005142,6.572
0.008026,6.676
0.01883,6.725
0.01128,6.466
0.00858,6.75
0.01128,7.044
0.005791,7.046
0.00527,7.467
0.004606,7.654
0.005823,7.49
0.003894,7.675
0.004845,8.049
0.005512,7.974
0.003912,8.008
0.008792,7.993
0.004974,7.587
0.005043,7.689
0.003924,7.711
0.008464,7.593
0.003982,7.403
0.006134,7.435
0.004633,7.296
0.008211,7.318
0.01137,7.155
0.006781,6.89
0.006933,6.823
0.007693,6.984
0.006708,7.117
0.00826,6.936
0.005371,7.075
0.006067,7.354
0.009442,7.403
0.003489,7.293
0.009403,7.69
0.008768,7.533
0.01235,7.392
0.01082,7.382
0.009306,7.153
0.01444,7.319
0.01566,6.969
0.01155,6.976
0.01049,6.849
0.01358,7.027
0.00864,6.61
0.007575,7.383
0.009974,7.746
0.006886,7.669
0.005964,7.863
0.01283,7.955
0.01468,7.902
0.01414,7.325
0.007936,7.23
0.006805,7.209
0.00878,7.31
0.01078,7.011
0.007925,7.041
0.01172,6.84
0.008397,7.047
0.006431,7.418
0.01253,7.197
0.01408,7.481
0.005664,7.29
0.006441,7.564
0.008911,7.307
0.01436,7.097
